ip,node,node_detail
192.25.209.100,西宁,北京街I座
192.52.207.167,天津,李路n座
192.76.5.75,昆明,李路d座
192.88.100.194,北镇,马街K座
175.173.91.119,齐齐哈尔,宁德街y座
192.51.130.202,嘉禾,乔街D座
192.55.52.137,马鞍山,惠州街Z座
42.151.68.3,宜都,长沙街j座
192.24.129.0,梧州,香港街f座
192.52.192.128,阜新,哈尔滨街Q座
192.168.104.77,银川,孙街a座
192.83.77.57,六盘水,惠州路x座
198.63.218.184,拉萨,乌鲁木齐街h座
203.0.70.179,台北,黄街v座
192.88.111.85,邯郸,陈街v座
168.187.249.168,西安,台北路B座
192.88.100.197,通辽,吴街F座
219.27.16.67,郑州,北镇路B座
192.52.158.251,杭州,王街Z座
192.31.193.60,哈尔滨,宋路G座
203.0.82.6,呼和浩特,潜江路f座
203.3.71.134,沈阳,韩路K座
192.52.243.222,嘉禾,王街M座
195.20.18.25,荆门,李街r座
192.175.139.164,邯郸,梧州街L座
169.255.62.10,辛集,马街q座
192.169.243.81,海门,海门路s座
198.16.223.161,成都,天津路w座
192.52.241.186,通辽,张街U座
192.52.202.52,永安,南京路o座
198.199.173.147,郑州,齐路z座
198.14.159.254,深圳,嘉禾路C座
192.88.219.238,北镇,陈街e座
169.117.192.233,北京,石家庄街E座
192.63.78.5,北京,范路f座
192.175.49.75,兴安盟,陈街u座
168.74.125.127,巢湖,惠街f座
203.1.173.73,柳州,洪街G座
62.26.161.66,兴安盟,天津街L座
192.0.7.138,石家庄,潮州路u座
100.153.74.233,深圳,辽阳路g座
192.52.235.59,宜都,罗路l座
192.31.97.194,关岭,陈路V座
189.127.37.224,辽阳,曹街A座
192.52.41.119,哈尔滨,徐街q座
192.175.30.167,哈尔滨,邯郸路M座
198.24.238.181,海口,兴安盟路p座
198.54.134.220,西安,南宁街n座
206.22.21.131,潮州,北京街y座
192.77.13.65,辽阳,北镇街q座
192.88.24.127,石家庄,佛山街X座
192.81.71.2,乌鲁木齐,高街I座
198.51.205.23,长沙,六安路Z座
114.224.129.230,澳门,季路y座
192.31.194.7,贵阳,郝路B座
198.107.66.103,潮州,上海路E座
169.252.172.164,贵阳,拉萨路j座
114.6.221.47,六盘水,曾街O座
198.51.101.230,南宁,哈尔滨路I座
196.237.0.204,广州,冯街m座
203.6.81.167,海口,程路k座
192.88.102.4,合肥,马路B座
171.29.52.20,潮州,任路L座
203.0.122.254,辛集,北京路D座
203.18.60.225,太原,邹路U座
